[08/17 01:51:15.927455][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 480, height: 270, fps: 5}
[08/17 01:51:15.927496][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 360, fps: 60}
[08/17 01:51:15.927539][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 360, fps: 30}
[08/17 01:51:15.927581][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 360, fps: 15}
[08/17 01:51:15.927623][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 360, fps: 10}
[08/17 01:51:15.927665][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 360, fps: 5}
[08/17 01:51:15.927709][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 400, fps: 60}
[08/17 01:51:15.927750][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 400, fps: 30}
[08/17 01:51:15.927793][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 400, fps: 15}
[08/17 01:51:15.927835][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 400, fps: 10}
[08/17 01:51:15.927878][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 400, fps: 5}
[08/17 01:51:15.927920][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 480, fps: 60}
[08/17 01:51:15.927962][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 480, fps: 30}
[08/17 01:51:15.928025][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 480, fps: 15}
[08/17 01:51:15.928070][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 480, fps: 10}
[08/17 01:51:15.928112][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 640, height: 480, fps: 5}
[08/17 01:51:15.928142][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 848, height: 480, fps: 60}
[08/17 01:51:15.928185][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 848, height: 480, fps: 30}
[08/17 01:51:15.928228][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 848, height: 480, fps: 15}
[08/17 01:51:15.928269][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 848, height: 480, fps: 10}
[08/17 01:51:15.928312][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 848, height: 480, fps: 5}
[08/17 01:51:15.928354][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 720, fps: 60}
[08/17 01:51:15.928396][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 720, fps: 30}
[08/17 01:51:15.928439][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 720, fps: 15}
[08/17 01:51:15.928482][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 720, fps: 10}
[08/17 01:51:15.928512][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 720, fps: 5}
[08/17 01:51:15.928555][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 800, fps: 60}
[08/17 01:51:15.928598][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 800, fps: 30}
[08/17 01:51:15.928641][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 800, fps: 15}
[08/17 01:51:15.928683][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 800, fps: 10}
[08/17 01:51:15.928726][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 1280, height: 800, fps: 5}
[08/17 01:51:15.928769][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 424, height: 240, fps: 60}
[08/17 01:51:15.928811][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 424, height: 240, fps: 30}
[08/17 01:51:15.928853][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 424, height: 240, fps: 15}
[08/17 01:51:15.928896][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 424, height: 240, fps: 10}
[08/17 01:51:15.928938][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 424, height: 240, fps: 5}
[08/17 01:51:15.928982][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 480, height: 270, fps: 60}
[08/17 01:51:15.929025][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 480, height: 270, fps: 30}
[08/17 01:51:15.929067][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGR, width: 480, height: 270, fps: 15}
